Source Plant,Main Allelochemical,Target Plants,Sensitivity,Effect,Group
Black Walnut,Juglone,Tomato,High,Strong Inhibition,Quinones
Black Walnut,Juglone,Alfafa,Moderate,Weakened Inhibition,Quinones
Black Walnut,Juglone,Lettuce,High,Strong Inhibition,Quinones
Black Walnut,Juglone,Kentucky Bluegrass,Moderate,Weakened Inhibition,Quinones
Black Walnut,Juglone,Corn,High,Strong Inhibition,Quinones
Black Walnut,Juglone,Soybean,Moderate,Weakened Inhibition,Quinones
Black Walnut,Juglone,Maize,High,Strong Inhibition,Quinones
Black Walnut,Juglone,Mustard,Moderate,Weakened Inhibition,Quinones
Black Walnut,Juglone,Horseweed,High,Strong Inhibition,Quinones
Black Walnut,Juglone,Hairy Fleabane,High,Strong Inhibition,Quinones
Black Walnut,Juglone,Purslane,High,Strong Inhibition,Quinones
Black Walnut,Juglone,Tall Annual Morning Glory,High,Strong Inhibition,Quinones
Bottlebrush,Leptospermone,Hairy Crabgrass,Resistant,No Effect,Miscellaneous
Bottlebrush,Leptospermone,Yellow Foxtail,Moderate,Weakened Inhibition,Miscellaneous
Bottlebrush,Leptospermone,Common Amaranth,Moderate,Strong Inhibition,Miscellaneous
Bottlebrush,Leptospermone,California Red Oat,High,Strong Inhibition,Miscellaneous
Bottlebrush,Leptospermone,Indian Mustard,Resistant,Weakened Inhibition,Miscellaneous
Bottlebrush,Leptospermone,Curly Dock,Moderate,Strong Inhibition,Miscellaneous
Buckwheat,Flavonoids,Quackgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Buckwheat,Flavonoids,Quackgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Buckwheat,Flavonoids,Shepherd'S Purse,Moderate,Weakened Exhibition,Phenolic Compounds
Buckwheat,Flavonoids,Shepherd'S Purse,Moderate,Weakened Exhibition,Phenolic Compounds
Castor Bean,Alkaloids,Purple Nutsedge,Moderate,Weakened Inhibition,Alkaloids
Castor Bean,Alkaloids,Spiny Pigweed,Moderate,Weakened Inhibition,Alkaloids
Castor Bean,Ricin,Purple Nutsedge,Moderate,Weakened Inhibition,Toxins and Proteins
Castor Bean,Ricin,Spiny Pigweed,Moderate,Weakened Inhibition,Toxins and Proteins
Catmint,Menthone,Common Amaranth,Moderate,Weakened Inhibition,Terpenoids
Catmint,Menthone,Pigweed,Moderate,Weakened Inhibition,Terpenoids
Catmint,Nepetalactone,Common Amaranth,Moderate,Weakened Inhibition,Terpenoids
Catmint,Nepetalactone,Pigweed,Moderate,Weakened Inhibition,Terpenoids
Ceylon Cinnamon,Cinnamaldehyde (Phenylpropanoids),Barnyardgrass,High,Strong Inhibition,Phenylpropanoids
Ceylon Cinnamon,Cinnamaldehyde (Phenylpropanoids),Redroot Pigweed,High,Strong Inhibition,Phenylpropanoids
Chicory,Sesquiterpene lactones,Curly Dock,Moderate,Weakened Inhibition,Terpenoids
Chicory,Sesquiterpene lactones,Chickweed,Moderate,Weakened Inhibition,Terpenoids
Chilli Pepper,Capsaicinoids,Crabgrass,Resistant,No Effect,Alkaloids
Chilli Pepper,Capsaicinoids,Common Purslane,Resistant,No Effect,Alkaloids
Chilli Pepper,Capsaicinoids,Bacteria,Moderate,Strong Inhibition,Alkaloids
Chilli Pepper,Capsaicinoids,Fungi,Moderate,Weakened Inhibition,Alkaloids
Chinaberry,Meliatoxins,Green Foxtail,Moderate,Weakened Inhibition,Terpenoids
Chinaberry,Meliatoxins,Barnyardgrass,Moderate,Weakened Inhibition,Terpenoids
Chinaberry,Azadirachtin,Green Foxtail,Moderate,Weakened Inhibition,Toxins and Proteins
Chinaberry,Azadirachtin,Barnyardgrass,Moderate,Weakened Inhibition,Toxins and Proteins
Chinese Fir,(-)-Caryophyllene,Cunninghamia Lanceolata,Resistant,No Effect,Terpenoids
Chrysanthemum,Pyrethrins,Green Foxtail,High,Strong Inhibition,Esters
Chrysanthemum,Pyrethrins,Crabgrass,High,Strong Inhibition,Esters
Common lantana,lantadene B,Water Hyacinths,High,Strong Inhibition,
Common lantana,lantadene B,Microcystis Aeruginosa,High,Strong Inhibition,
Common lantana,lantadene B,Small-Seeded Canary Grass,Moderate,Strong Inhibition,
Common lantana,lantadene B,Common Wild Oat,High,Strong Inhibition,
Common lantana,lantadene B,LambS Quarters,Moderate,Weakened Inhibition,
Common lantana,Lantadene A,Water Hyacinths,High,Strong Inhibition,Terpenoids
Common lantana,Lantadene A,Microcystis Aeruginosa,High,Strong Inhibition,Terpenoids
Common lantana,Lantadene A,Small-Seeded Canary Grass,Moderate,Weakened Inhibition,Terpenoids
Common lantana,Lantadene A,Common Wild Oat,Moderate,Weakened Inhibition,Terpenoids
Common lantana,Lantadene A,LambS Quarters,Moderate,Weakened Inhibition,Terpenoids
Coral Tree,Alkaloids,Purple Nutsedge,Moderate,Weakened Inhibition,Alkaloids
Coral Tree,Alkaloids,Goosegrass,Moderate,Weakened Inhibition,Alkaloids
Crabgrass,Maltol,Wheat,Moderate,Weakened Inhibition,Miscellaneous
Crabgrass,Maltol,Maize,High,Strong Inhibition,Miscellaneous
Crabgrass,Maltol,Soybean,Resistant,No Effect,Miscellaneous
Crabgrass,loliolide,Wheat,Moderate,Weakened Inhibition,Miscellaneous
Crabgrass,loliolide,Maize,High,Strong Inhibition,Miscellaneous
Crabgrass,loliolide,Soybean,Resistant,No Effect,Miscellaneous
Crabgrass,Veratric acid,Wheat,Moderate,Weakened Inhibition,Phenolic Compounds
Crabgrass,Veratric acid,Maize,High,Strong Inhibition,Phenolic Compounds
Crabgrass,Veratric acid,Soybean,Resistant,No Effect,Phenolic Compounds
Cucumber,Cucurbitacin (Triterpenoids),Redroot Pigweed,Resistant,No Effect,Terpenoids
Cucumber,Cucurbitacin (Triterpenoids),Barnyardgrass,Resistant,No Effect,Terpenoids
Eucalyptus,Monoterpenes,Perennial Ryegrass,Moderate,Weakened Exhibition,
Eucalyptus,Monoterpenes,Crabgrass,Moderate,Weakened Exhibition,
Eucalyptus,Cineole,Perennial Ryegrass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Eucalyptus,Cineole,Perennial Ryegrass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Eucalyptus,Cineole,Crabgrass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Eucalyptus,Cineole,Crabgrass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Eucalyptus,Alpha-pinene,Annual Grasses,Moderate,Weakened Inhibition,Terpenoids
Eucalyptus,Alpha-pinene,Weeds,Moderate,Weakened Inhibition,Terpenoids
Eucalyptus,"1,8-cineol",Common Amaranth,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Purslane,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Amaranth,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Purslane,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Amaranth,High,Weakened Inhibition,
Eucalyptus,"1,8-cineol",Common Purslane,High,Weakened Inhibition,
Eucalyptus,"1,8-cineol",Common Amaranth,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Purslane,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Amaranth,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Purslane,High,Strong Inhibition,
Eucalyptus,"1,8-cineol",Common Amaranth,High,Weakened Inhibition,
Eucalyptus,"1,8-cineol",Common Purslane,High,Weakened Inhibition,
Eucalyptus,"1,8-Cineole",Annual Grasses,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Eucalyptus,"1,8-Cineole",Weeds,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Fennel,Anethole,Lamb'S Quarters,Moderate,Weakened Exhibition,Phenylpropanoids
Fennel,Anethole,Crabgrass,Moderate,Weakened Exhibition,Phenylpropanoids
Fennel,Fenchone,Small-Seeded Weeds,Moderate,Weakened Inhibition,Terpenoids
Fennel,Anethole,Small-Seeded Weeds,Moderate,Weakened Inhibition,Phenylpropanoids
Fine fescue grasses,M-tyrosine,Birdsfoot Trefoil,Moderate,Weakened Inhibition,Amino Acid Derivatives
Fine fescue grasses,M-tyrosine,Large Crabgrass,Moderate,Weakened Inhibition,Amino Acid Derivatives
Fine fescue grasses,M-tyrosine,White Clover,Moderate,Weakened Inhibition,Amino Acid Derivatives
Fine fescue grasses,M-tyrosine,Common Dandelion,Moderate,Weakened Inhibition,Amino Acid Derivatives
Fir-moss,p-Coumaric acid,Lettuce,Moderate,Weakened Inhibition,Phenolic Compounds
Fir-moss,p-Coumaric acid,Lettuce,Moderate,Weakened Inhibition,Phenolic Compounds
Fir-moss,p-Coumaric acid,Radish,Moderate,Weakened Inhibition,Phenolic Compounds
Fir-moss,p-Coumaric acid,Radish,Moderate,Weakened Inhibition,Phenolic Compounds
Fork moss,Caffeic acid,Lettuce,Moderate,Weakened Exhibition,Phenolic Compounds
Fox-tail moss,Phenolic acids,Radish,Moderate,Weakened Exhibition,Phenolic Compounds
Fox-tail moss,Phenolic acids,Radish,Moderate,Weakened Exhibition,Phenolic Compounds
Fox-tail moss,Phenolic acids,Lettuce,Resistant,No Effect,Phenolic Compounds
Fox-tail moss,Phenolic acids,Lettuce,Resistant,No Effect,Phenolic Compounds
Fox-tail moss,Pinene,Radish,Moderate,Weakened Exhibition,Terpenoids
Fox-tail moss,Pinene,Lettuce,Moderate,Weakened Exhibition,Terpenoids
Garlic,Diallyl disulfide,Lettuce,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Garlic,Allicin,Lettuce,High,Strong Inhibition,Sulfur-Containing Compounds
Geranium,Citronellol,Lettuce,Moderate,Weakened Exhibition,Terpenoids
Geranium,Citronellol,Crabgrass,Moderate,Weakened Inhibition,Terpenoids
Geranium,Geraniol,Lettuce,Moderate,Weakened Exhibition,Terpenoids
Geranium,Geraniol,Crabgrass,Moderate,Weakened Inhibition,Terpenoids
Giant Ragweed,1-Angeloyloxycarotol,Wheat,High,Strong Inhibition,Terpenoids
Giant ragweed,1-Angeloyloxycarotol,Wheat,High,Strong Inhibition,Terpenoids
Giant ragweed,1-Angeloyloxycarotol,Sunflower,Moderate,Weakened Inhibition,Terpenoids
Giant Reed,Farnesene,Microcystis Aeruginosa,Moderate,Weakened Exhibition,Terpenoids
Giant Reed,Geraniol,Microcystis Aeruginosa,Moderate,Weakened Inhibition,Terpenoids
Giant Reed,Caryophyllene,Microcystis Aeruginosa,Moderate,Weakened Exhibition,Terpenoids
Ginger,Gingerol (Sesquiterpenes),Spiny Pigweed,Resistant,No Effect,Terpenoids
Ginger,Gingerol (Sesquiterpenes),Common Purslane,Moderate,Weakened Exhibition,Terpenoids
Ginger,Zingiberene,Spiny Pigweed,Moderate,Weakened Exhibition,Terpenoids
Ginger,Zingiberene,Common Purslane,Moderate,Weakened Exhibition,Terpenoids
Guava,Quercetin,Perennial Ryegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Guava,Quercetin,Lamb'S Quarters,Moderate,Weakened Exhibition,Phenolic Compounds
Guava,Guajavarin,Perennial Ryegrass,Moderate,Weakened Exhibition,Miscellaneous
Guava,Guajavarin,Lamb'S Quarters,Moderate,Weakened Exhibition,Miscellaneous
Hairy Vetch,Cyanamide,Wild Oat,High,Strong Inhibition,Cyanogenic Compounds
Hairy Vetch,Cyanamide,Blackgrass,Moderate,Weakened Inhibition,Cyanogenic Compounds
Indian Mustard,Isothiocyanates,Canary Grass,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Indian Mustard,Isothiocyanates,Lamb'S Quarters,Moderate,Weakened Exhibition,Sulfur-Containing Compounds
Indian Mustard,Isothiocyanates,Curly Dock,Moderate,Weakened Exhibition,Sulfur-Containing Compounds
Indian Mustard,Glucosinolates,Canary Grass,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Indian Mustard,Glucosinolates,Lamb'S Quarters,Moderate,Weakened Exhibition,Sulfur-Containing Compounds
Indian Mustard,Glucosinolates,Curly Dock,Moderate,Weakened Exhibition,Sulfur-Containing Compounds
Lantana,"Lantadene A,B",Common Purslane,Moderate,Weakened Inhibition,
Lantana,"Lantadene A,B",Barnyardgrass,Moderate,Weakened Inhibition,
Lavender,Linalyl acetate,Perennial Ryegrass,Moderate,Weakened Exhibition,Terpenoids
Lavender,Linalyl acetate,Crabgrass,Moderate,Weakened Exhibition,Terpenoids
Lavender,Linalool,Perennial Ryegrass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Lavender,Linalool,Crabgrass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Lavender,Camphor,Weeds,Moderate,Weakened Inhibition,Terpenoids
Lavender,Camphor,Weeds,Moderate,Weakened Inhibition,Terpenoids
Lavender,Camphor,Maize,Moderate,Weakened Exhibition,Terpenoids
Lavender,Camphor,Maize,Moderate,Weakened Exhibition,Terpenoids
Lavender,Linalool,Weeds,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Lavender,Linalool,Maize,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Leek,Allyl sulfides,Common Groundsel,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Leek,Allyl sulfides,Chickweed,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Lemongrass,Geraniol,Green Foxtail,Moderate,Weakened Exhibition,Terpenoids
Lemongrass,Geraniol,Crabgrass,Moderate,Weakened Exhibition,Terpenoids
Lemongrass,Citral,Green Foxtail,Moderate,Weakened Inhibition,Terpenoids
Lemongrass,Citral,Crabgrass,Moderate,Weakened Inhibition,Terpenoids
Lemongrass,Geraniol,Aquatic Plants,Moderate,Weakened Exhibition,Terpenoids
Lemongrass,Citral,Arabidopsis Thaliana,High,Strong Exhibition,Terpenoids
Lemongrass,Citral,Aquatic Plants,Moderate,Weakened Exhibition,Terpenoids
Long pepper,Sarmentine,Field Bindweed,High,Strong Inhibition,Alkaloids
Long pepper,Sarmentine,Wild Mustard,Resistant,No Effect,Alkaloids
Long pepper,Sarmentine,Horseweed,Moderate,Weakened Inhibition,Alkaloids
Long pepper,Sarmentine,Sprangletop,High,Strong Inhibition,Alkaloids
Maize,BOA,Canary Grass,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,BOA,Smooth Pigweed,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,BOA,Lamb'S Quarters,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,Benzoxazinoid hydroxamic acids,Green Foxtail,Moderate,Weakened Inhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Oat,High,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Oat,High,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Tobacco,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Tobacco,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Carrot,High,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Carrot,High,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Onion,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Onion,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Canary Grass,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Canary Grass,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Smooth Pigweed,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Smooth Pigweed,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Lamb'S Quarters,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Maize,DIMBOA,Lamb'S Quarters,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Marigold,Thiophene derivatives,Nematodes,High,Strong Inhibition,Miscellaneous
Marigold,Thiophene derivatives,Weeds,Moderate,Weakened Inhibition,Miscellaneous
Mexican Bush Sage,Terpenoids,Kikuyu Grass,Moderate,Weakened Exhibition,Terpenoids
Mexican Bush Sage,Terpenoids,Crabgrass,Moderate,Weakened Exhibition,Terpenoids
Mexican Bush Sage,Essential oils,Kikuyu Grass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Mexican Bush Sage,Essential oils,Crabgrass,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Mexican Sunflower,Sesquiterpene lactones,Redroot Pigweed,Moderate,Weakened Inhibition,Terpenoids
Mexican Sunflower,Sesquiterpene lactones,Barnyardgrass,Moderate,Weakened Inhibition,Terpenoids
morning glory,Tricolorin A,Annual Ryegrass,Resistant,No Effect,Miscellaneous
morning glory,Tricolorin A,Common Wheat,High,Strong Inhibition,Miscellaneous
morning glory,Tricolorin A,Tomatillo,Moderate,Weakened Inhibition,Miscellaneous
morning glory,Tricolorin A,Egyptian Clover,Resistant,No Effect,Miscellaneous
Moso Bamboo,Lignin derivatives,Competing Bamboo Species,Moderate,Strong Inhibition,Lignin Derivatives
Moso Bamboo,Catechins,Competing Bamboo Species,Moderate,Weakened Inhibition,Phenolic Compounds
Mugwort,scopoletin,Rapeseed,Moderate,Weakened Inhibition,
Mugwort,Artemisinin,Rapeseed,Moderate,Weakened Inhibition,Terpenoids
Mugwort,Artemisinin,Rapeseed,Moderate,Weakened Inhibition,Terpenoids
Myrtle,"Myrtucommulone A,B",Kentucky Bluegrass,Moderate,Weakened Inhibition,
Myrtle,"Myrtucommulone A,B",Barnyardgrass,Moderate,Weakened Inhibition,
Neem,Nimbin,Redroot Pigweed,Moderate,Weakened Exhibition,Terpenoids
Neem,Nimbin,Barnyardgrass,Moderate,Weakened Exhibition,Terpenoids
Neem,Salannin,Redroot Pigweed,Moderate,Weakened Exhibition,Terpenoids
Neem,Salannin,Barnyardgrass,Moderate,Weakened Exhibition,Terpenoids
Neem,Azadirachtin,Redroot Pigweed,Moderate,Weakened Inhibition,Toxins and Proteins
Neem,Azadirachtin,Barnyardgrass,Moderate,Weakened Inhibition,Toxins and Proteins
Neem,Nimbic acid B,Garden Cress,High,Strong Inhibition,Terpenoids
Neem,Nimbic acid B,Lettuce,Moderate,Weakened Inhibition,Terpenoids
Neem,Nimbic acid B,Alfalfa,Resistant,No Effect,Terpenoids
Neem,Nimbin,Various Pests,Moderate,Weakened Inhibition,Terpenoids
Neem,Nimbin,Weeds,Moderate,Weakened Exhibition,Terpenoids
Neem,Azadirachtin,Various Pests,Moderate,Strong Inhibition,Toxins and Proteins
Neem,Azadirachtin,Weeds,Moderate,Weakened Inhibition,Toxins and Proteins
Neem,Nimbolide B,Garden Cress,High,Strong Inhibition,Terpenoids
Neem,Nimbolide B,Lettuce,Moderate,Weakened Inhibition,Terpenoids
Neem,Nimbolide B,Alfalfa,Resistant,No Effect,Terpenoids
Northern White Cedar,Thujone,Annual Bluegrass,Moderate,Weakened Inhibition,Terpenoids
Northern White Cedar,Thujone,Green Foxtail,Moderate,Weakened Inhibition,Terpenoids
Oat,Avenacins,Cheatgrass,High,Strong Inhibition,Saponins
Oat,Avenacins,Annual Bluegrass,Moderate,Weakened Inhibition,Saponins
Onion,Diallyl disulfide,Green Foxtail,Resistant,No Effect,Sulfur-Containing Compounds
Onion,Diallyl disulfide,Lamb'S Quarters,High,Strong Inhibition,Sulfur-Containing Compounds
Papaya,Benzyl isothiocyanate (Isothiocyanates),Green Foxtail,Resistant,No Effect,Sulfur-Containing Compounds
Papaya,Benzyl isothiocyanate (Isothiocyanates),Crabgrass,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Pea,Pisatin,Green Foxtail,Resistant,No Effect,Isoflavonoids
Pea,Pisatin,Redroot Pigweed,Moderate,Weakened Exhibition,Isoflavonoids
Pepper,Dicarboxylic acids,Redroot Pigweed,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Pepper,Dicarboxylic acids,Purple Nutsedge,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
